time,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5
2023-04-27,,,,,
2023-04-28,,,,,
2023-05-04,,,,,
2023-05-05,,,,,
2023-05-08,,,,,
2023-05-09,,,,,
2023-05-10,,,,,
2023-05-11,,-0.07261473856595121,,,
2023-05-12,,-0.10901068387591165,,,
2023-05-15,,0.259769867829474,,,
2023-05-16,,0.21695186040058165,,,
2023-05-17,,-0.1310422589327674,,,-0.8623324180602736
2023-05-18,,0.7519758795508409,,,1.2904101116334323
2023-05-19,,-0.10855683376955318,,,1.163700887241099
2023-05-22,,-0.6752604415957899,,,0.6607454122718334
2023-05-23,0.5535938883135421,-0.150275512670833,,,-0.9054459786009127
2023-05-24,-1.4747254839385633,-0.11334175297571453,,,-1.161687695077284
2023-05-25,-1.514181404310189,-0.10901068387591165,,,-1.3419658181155332
2023-05-26,1.1149264821758018,-0.1576718064337049,,,-1.1551203650476096
2023-05-29,-0.3401573543687822,-0.09672076801379237,,,-0.9402748649208159
2023-05-30,-0.3820263087490668,-0.09245611548778288,-0.5819523017450954,,-0.08263414284182224
2023-05-31,-0.21694111364433394,-0.1298756876740601,-1.4163724409752696,,1.1133668472131486
2023-06-01,0.20359954347504952,-0.0870962844103028,-0.7905573365526389,,1.240803602168725
2023-06-02,-1.6072172842185355,3.5832862149033304,1.5040980463303402,,1.3271170201424374
2023-06-05,1.814565669257225,0.8625388008583382,1.5040980463303402,,1.1903608628111633
2023-06-06,1.6872256347585028,1.2885373703305458,1.5040980463303402,0.6313943930329432,1.1632503487980173
2023-06-07,0.1412344243369492,0.049271409211504184,1.5040980463303402,0.25407381742807567,0.9710015789160916
2023-06-08,-0.3160070707490233,1.3320338911709855,1.0868879767152533,-0.044124275099434174,-0.4354929374981892
2023-06-09,-0.4513490961874661,-2.037716920387031,0.4610728722926223,-0.376819525587631,-1.2865986062894497
2023-06-12,-0.5792795711861121,-0.5782728011274789,-0.3733472669375517,-1.8937767411036548,-1.2502788802089853
2023-06-13,-0.2739208681057902,-0.2238044227747287,-0.3733472669375517,-1.8738418035920308,-1.2364268518595016
2023-06-14,-0.7062344231899013,-0.08173229555215641,-0.5819523017450954,-1.8937767411036548,-1.1136141286729204
2023-06-15,-0.6270415190735363,0.17970088132822593,-0.5819523017450954,-1.740701574360337,-0.42155380457056657
2023-06-16,-0.8664048215572964,-0.028034323724196345,-1.2077674061677262,-1.692842403697015,-1.0173167211581557
2023-06-19,-0.7510555566180535,-0.13146549484638267,-1.4163724409752696,-0.061184155281794536,-1.1295971850818824
2023-06-20,-1.5039651394969848,-0.10350697817599139,-1.4163724409752696,-0.5741061707772592,-0.01771860330763325
2023-06-21,-1.5167153025119267,-0.07459451918269587,-1.4163724409752696,-0.15512610163992396,0.7351901654157303
2023-06-22,-1.0261621566064572,-0.04580492973920461,-0.7905573365526389,0.4017596642069313,1.2886146267440757
2023-06-23,1.8126281947009208,-0.28933986147585833,0.4610728722926223,-0.126399055772566,1.2629404235968336
2023-06-26,-1.2572009629739374,0.025483354805695548,0.6696779071001658,-0.28269681754686565,1.146679392075875
2023-06-27,-0.5872880451157352,-0.1539120061620065,0.6696779071001658,0.0063279307557232755,0.40820420239699157
2023-06-28,-0.3462392084271299,-0.35521288170505716,0.2524678374850788,-0.7599429883987118,0.27778488941247886
2023-06-29,-0.1439366090448901,-0.2211621045198829,-0.5819523017450954,-1.3888715524051003,-1.2313725377498546
2023-06-30,-1.1521568189296287,-0.17583804524319724,-1.2077674061677262,0.4485890375653624,-1.331004201783901
2023-07-03,0.15817687082061574,-0.06970299655950947,-0.9991623713601825,1.2042412991402698,-1.193484826404977
2023-07-04,-0.20459484788655288,-0.06231015354163932,-0.9991623713601825,1.2042412991476479,-0.8245318292643593
2023-07-05,-0.7023396547765135,-0.12341873853387375,-1.2077674061677262,1.1901941130306573,0.11204252221226718
2023-07-06,-0.2766621930030246,-0.07477205753869601,-0.7905573365526389,1.1394696382947778,-0.49564820825655254
2023-07-07,1.678678016764558,-0.1050241739919381,-0.9991623713601825,0.9532343869627082,1.2317712487784322
2023-07-10,-1.5741204572959595,0.37651744001162984,0.8782829419077097,1.2042412991893334,1.3253343964187845
2023-07-11,-1.5202243006040672,0.056745817571504584,1.2954930115227967,1.0068817398040368,1.204828655453109
2023-07-12,-0.5973713006438589,-0.21655186311922062,0.8782829419077097,0.906588227718449,-0.017718603307626823
2023-07-13,0.9348744206561882,-0.10468582002545564,0.4610728722926223,0.6481136747827464,0.9845114840274573
2023-07-14,0.5565541844616999,-0.03842954189246426,0.6696779071001658,0.6321968071764865,0.36312466396511006
2023-07-17,-0.7084740101718422,-0.6915317338194232,0.043862802677535284,0.5042863712353659,-1.1927078482904514
2023-07-18,0.6727730673269035,-0.1426477450216154,-0.16474223213000821,-0.4639934877158828,-0.8734649416706286
2023-07-19,1.8008600206126537,-0.10327510791818713,0.043862802677535284,0.12625823768311242,0.40158921173504325
2023-07-20,-0.32869378814199673,-0.13478071459295193,0.2524678374850788,-0.7574385411289788,-0.30287405612902113
2023-07-21,0.06027697178316153,-0.1697727759018805,-0.16474223213000821,-0.6484584432684989,-0.4325925717295084
2023-07-24,-1.012885836021775,0.14837148308108333,0.4610728722926223,0.9015889981497196,1.2544254946974778
2023-07-25,-1.0847647191445764,-0.0642156637602254,0.4610728722926223,1.0170369686058374,0.46321456646422404
2023-07-26,1.5025047540366885,-0.21488359244342212,0.043862802677535284,0.732710697641551,-1.0127051506870848
