time,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5
2023-04-27,,,,,
2023-04-28,,,,,
2023-05-04,,,,,
2023-05-05,,,,,
2023-05-08,,,,,
2023-05-09,,,,,
2023-05-10,,-0.33144187289280175,,,
2023-05-11,,-1.3194176639920732,,,
2023-05-12,,1.3975157615318896,,,
2023-05-15,,1.3975157615327012,,,
2023-05-16,,-1.576291369679164,,,
2023-05-17,,0.5138263039374067,,,
2023-05-18,,-0.33144187289280175,,,
2023-05-19,,-0.6080750944008823,,,
2023-05-22,,-0.3660210255813118,,,
2023-05-23,,-0.12396695676174135,,,
2023-05-24,,-0.33144187289280175,,,
2023-05-25,,-0.33144187289280175,,,
2023-05-26,,-0.9416622144542702,,,
2023-05-29,,0.9652763529252234,,,
2023-05-30,,-1.3039805422563207,,,
2023-05-31,,-1.2745096734871935,,,
2023-06-01,,-0.33144187289280175,,,
2023-06-02,,-0.33144187289280175,,,
2023-06-05,,1.3975157615290705,,,
2023-06-06,,1.397515761531573,,,
2023-06-07,,-1.6964084263857293,,,
2023-06-08,,-1.24141957522142,,,
2023-06-09,-0.5499900449628556,-0.33144187289280175,,,
2023-06-12,1.029954779282617,0.9035278659818755,,,
2023-06-13,1.566187625291939,1.3975157615320628,,,
2023-06-14,1.2957054722333963,-1.9274027662080613,,0.4541021950142852,
2023-06-15,1.029954779282617,-0.9964255784408266,,0.4541021952302227,
2023-06-16,1.2957054722333963,-0.33144187289280175,,0.45410219533452173,
2023-06-19,-0.362510063485884,-0.33144187289280175,,0.45410219524708617,
2023-06-20,-0.4580002915963835,-0.4331452631531063,,0.4541021943444712,
2023-06-21,-0.1611281298516394,-0.026331702111888015,,1.9199099958986299,
2023-06-22,-1.162283530463311,-0.33144187289280175,,1.9199099958986299,
2023-06-23,-1.162283530463311,-1.8010558621535977,-1.0220971386203677,1.9199099958986299,0.179062078345527
2023-06-26,-1.0291852988723749,0.9652763529255476,-1.0435004395582734,1.9199099958986299,0.1105632580832515
2023-06-27,-0.1611281298516394,1.138172116367994,-1.032192833275864,1.9199099958986299,-0.016878406582931618
2023-06-28,-1.2830109514038768,-1.9643463054046155,-0.9841377988413305,-2.1498562939084684,0.01053556064497338
2023-06-29,-1.2830109514038768,-1.1959206901046642,-0.7630844337987586,0.4541021952487039,-0.19301388645243076
2023-06-30,-0.8830829880291295,-0.33144187289280175,-0.08125269676266067,-2.1498379586671015,-1.775816132080147
2023-07-03,-1.0291852988723749,-0.007262316438295447,0.44929091626872336,0.470770573116673,-0.6877329942578703
2023-07-04,-0.05533120864083656,0.641096796470717,1.0442863987273348,0.4707705731740051,-0.13641629536227629
2023-07-05,-1.162283530463311,-1.8442798030138308,1.1763601380857225,0.47077057319323,-0.7621545590220602
2023-07-06,-1.2830109514038768,-1.0878608379533163,1.1763601380887616,0.47077057317484616,-1.6662357415484097
2023-07-07,-1.2830109514038768,-0.5784358206676196,1.1763601380907032,0.47077057314224074,-1.6653423667653973
2023-07-10,-1.162283530463311,1.274018787643514,1.1763601380911692,-0.6294567670162219,-0.3736859869682918
2023-07-11,0.05377483192034323,-2.060399507316835,1.1763601380913156,0.5640482270169904,1.7800356665311299
2023-07-12,-0.1611281298516394,1.3975157615320097,1.1684244981584508,0.5640482270118713,1.5671400930471775
2023-07-13,0.7710968639703435,0.9134076238930625,1.1734797013725358,0.5640482270791873,0.729079427927255
2023-07-14,0.5210643028516633,-1.576291369678666,1.1763601380912412,0.5473904290546541,-0.3799453160984252
2023-07-17,1.566187625291939,1.397515761532112,1.106305501633938,0.5473904290442785,-1.5132202546356437
2023-07-18,1.2957054722333963,-1.7362199508623288,0.7948492062869569,0.45410219492618076,-0.7027645083320982
2023-07-19,1.029954779282617,-0.8029757731899976,0.35903371362902786,0.45410219493448095,-0.37833528369570624
2023-07-20,0.7710968639703435,-0.33144187289280175,-0.36616888111020385,0.4541021948987228,-0.6267463215491323
2023-07-21,1.029954779282617,-0.11532216858970751,-1.1203887460568025,0.4541021949485571,-0.674254073402478
2023-07-24,1.2957054722333963,-0.9077610843677196,-1.1203887460568025,0.45410219493298715,-0.06789312558044557
2023-07-25,1.2957054722333963,-0.6196014786302607,-1.1203887460568025,0.45410219494956044,0.15629904968975514
2023-07-26,-0.1611281298516394,-0.33144187289280175,-1.1203887460568025,-2.1569590855310588,0.7651160610108976
2023-07-27,0.2815101145529351,-0.13933546906788244,-1.1203887460568025,-2.1569590855310588,0.7092953426403117
2023-07-28,-0.5499900449628556,1.3975157615302494,-1.1203887460568025,-2.1569590855310588,0.39465586128811936
2023-07-31,1.566187625291939,1.397515761532728,0.8422448834769283,-2.1569590855310588,0.9673052703761229
2023-08-01,1.566187625291939,1.3975157615330043,1.1763601380944972,-2.1569590855310588,3.0463826509592584
2023-08-02,1.2957054722333963,-1.8661346045741352,1.1763601380951736,-2.1498562939084684,2.1653545026669465
2023-08-03,0.7710968639703435,-1.1473544644195866,1.176360138095473,0.454102195044619,1.6031671252936028
2023-08-04,1.566187625291939,0.5032273299334452,1.1763601380958548,0.4541021950458084,2.0775683363924506
2023-08-07,0.7710968639703435,0.9098610441308146,1.1763601380960784,0.4541021950444791,1.8622389411697724
2023-08-08,1.029954779282617,1.3975157615327862,1.1763601380962516,0.4541021950367562,1.894800718378328
2023-08-09,0.7710968639703435,-0.4831048232810112,1.1763601380963253,0.45410219504427773,1.349751654651439
