time,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5
2023-04-27,,,,,
2023-04-28,,,,,
2023-05-04,,,,,
2023-05-05,,,,,
2023-05-08,,,,,
2023-05-09,-0.013621249792763706,,,,
2023-05-10,-0.013621249788378321,,0.10609367248532497,,
2023-05-11,-0.013621249791087437,,0.16672700959629072,,
2023-05-12,-0.013621249791173578,,0.15541473132322553,,
2023-05-15,-0.013621249792261307,,0.15549576128502665,,
2023-05-16,-0.013621249790035986,,0.14804269864159186,,
2023-05-17,-0.013621249789808236,,0.13623319533485828,,
2023-05-18,-0.013621249790070475,,0.14085519673961,,
2023-05-19,-0.013621249791709703,,0.12122902716621119,,
2023-05-22,-0.013621249791073235,,0.1193255954873193,,
2023-05-23,-0.013621249785735182,,0.13972113407912498,,0.03355661156609473
2023-05-24,-0.013621249789758948,,0.14537562250367375,,0.044133038776132415
2023-05-25,-0.013621249790880068,,0.13178665167522458,,0.1968458098242658
2023-05-26,-0.013621249790165662,,0.11122271301425232,,-0.09838734943909573
2023-05-29,-0.013621249788979647,0.40571675203659274,0.13872141820133824,,-0.21558337392316668
2023-05-30,-0.013621249790046046,0.8495809440275536,0.14106675057629228,,0.47562389400441735
2023-05-31,-0.013621249792841494,0.575856031568739,0.12124249164355662,,0.5495916796947353
2023-06-01,-0.013621249792283992,0.14109843503238936,0.12598529301410005,,0.017426293538502623
2023-06-02,-0.013621249795639735,0.11581828953762316,0.12358596549717765,,0.11399408172255109
2023-06-05,-0.013621249791344804,-0.11023330650399314,0.1229365965746196,,0.09579520256391735
2023-06-06,-0.013621249789129016,-0.5782623553293819,0.13445154385453092,,0.17797719994476024
2023-06-07,-0.013621249789726701,-1.1202972553105697,0.13657557495811964,,0.22911190610562265
2023-06-08,-0.013621249789225043,-0.6073700313965685,0.13514321962349476,,0.06861524263098998
2023-06-09,-0.013621249793747613,0.03556954351774967,0.13697398076565945,,0.00687155044708366
2023-06-12,-0.013621249789807171,-0.583167735729603,0.14478516557066526,,0.07720580506639285
2023-06-13,-0.013621249788854609,-0.39776846286266265,0.1524435281657047,,0.14495771478026503
2023-06-14,-0.013621249789993389,-0.9885727008606972,0.13262126890782344,-1.5511742924694554,-0.14930879687019571
2023-06-15,-0.01362124979996685,-0.022044597606690437,0.13095951557914134,-0.43969511254523636,0.07637063426575619
2023-06-16,-0.013621249436296046,0.8671798794172333,0.17460902602134049,1.2275236573410921,0.050251570964731734
2023-06-19,-0.013621249788381896,0.22143867325822292,0.1711007886168484,-0.7175649075262912,0.08640832297617422
2023-06-20,-0.013621249788849843,0.2667967866669217,0.1685417537349724,1.6443283498126742,-0.0469142402345035
2023-06-21,-0.013621249791243654,0.9445258761048603,0.15441341178462384,0.5328491698884553,0.0778868274076986
2023-06-22,-0.013621249790458654,1.0201880317717178,0.12303554127054536,1.3664585548316195,0.13022007803545216
2023-06-23,-0.013621249789364166,1.1531541049933725,0.15571770951001665,0.5328491698884553,0.057652689320576406
2023-06-26,-0.013621249790393496,0.44376889593709745,0.1402945349619119,-0.30076021505470907,0.08621315794486036
2023-06-27,-0.013621249793299536,0.15963273114815676,0.14051429530736273,-0.022890420073654254,0.02125057316862667
2023-06-28,-1.0531870262141783,0.18326967530093702,0.13314363103067567,-0.7175649075262912,-0.00667803329059455
2023-06-29,-0.013621249790035986,0.281021320794745,0.13634689449445328,1.3664585548316195,0.2446764619753449
2023-06-30,-0.013621249791460155,0.25288492723623474,0.1358348953924586,0.5328491698884553,0.0842473175063067
2023-07-03,-0.013621249793301142,0.10478085243356068,0.12685815500849912,-0.8564998050168184,-0.13768101643942074
2023-07-04,-0.013621249790035986,0.29053231673874225,0.13606196043251506,-0.022890420073654254,-0.1509850800180905
2023-07-05,-0.013621249789803612,0.1780758684206681,0.13668817233608663,0.5328491698884553,-0.12029896912300532
2023-07-06,-0.013621249788493047,0.11541096286923816,0.1396500436776246,-0.022890420073654254,-0.09572029047234856
2023-07-07,-0.013621249787261362,0.7994772937334308,0.16022876816972179,1.5053934523221466,0.35458557001147634
2023-07-10,-0.013621249775868349,0.7670060162599034,0.18755256062111259,0.6717840673789824,0.09174102529326644
2023-07-11,-0.01362124976068279,0.7836220145586149,0.21015435616229225,0.9496538623600375,0.15092944240120004
2023-07-12,-0.013621249789158244,0.12903647461984197,0.19449557678622528,-0.09235786881891801,0.11438861885925457
2023-07-13,-0.01362124984413947,0.057325076421968234,0.1740709566485635,-1.690109189959983,0.13275487296148797
2023-07-14,-0.013621249786266044,0.03556954351774967,0.16547141375590266,-1.412239394978928,0.12707574537336067
2023-07-17,-0.013621249787579127,0.026899765845818234,0.16078837913788266,-1.1343695999978733,0.100434513500513
2023-07-18,-0.013621249788748738,-0.15909878614934395,0.15992555472706413,-0.16182531756418175,0.03034830904667285
2023-07-19,0.7857478536229427,-0.34107622782449537,0.14870246587338873,-0.5786300100357639,0.03387039538515863
2023-07-20,-0.013621249791907132,-0.18217192183140019,0.13026433841871726,-0.16182531756418175,0.03828079621959996
2023-07-21,-0.013621249789936772,-0.15564568939249973,0.13882713434525087,0.25497937490740036,0.06400323216072447
2023-07-24,-0.013621249789627376,-0.3543720674116352,0.12262138508284114,-0.8564998050168184,0.04914719343107515
2023-07-25,-0.013621249890189395,-1.0537477247095892,0.017990601947060068,-1.690109189959983,-0.4555201364664217
2023-07-26,-0.013621249801216817,-0.8108354673265047,0.013349156645058653,-1.5511742924694554,-0.21087419666836726
