time,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5
2023-04-27,,,,,
2023-04-28,,,,,
2023-05-04,,,,,
2023-05-05,,,,,
2023-05-08,,,,,
2023-05-09,,,-0.06784122826247131,,
2023-05-10,,,-0.10966480297119714,,
2023-05-11,,,0.05275773580920749,,
2023-05-12,,,-0.05232116945862479,,
2023-05-15,,,-0.06558637102563254,,
2023-05-16,,,-0.002813902097908845,,
2023-05-17,,,0.15241016074144886,,
2023-05-18,,,-0.017092909940503394,-0.11316243280615627,
2023-05-19,,,-0.07575945925786794,-0.2507461326765237,
2023-05-22,,,-0.08431374450824057,-0.3498465308730303,
2023-05-23,,,-0.07575945925786794,0.0679808732800634,
2023-05-24,,,-0.07098970331947359,-0.10974949438619644,
2023-05-25,,,-0.08349415781127141,-0.11131005685752027,
2023-05-26,,,-0.08589416056572316,-0.11316243280615627,
2023-05-29,-0.6086607338543711,,-0.023889893800418522,-0.3943628065700097,-1.4390425853942423
2023-05-30,-0.6086607323296633,,-0.02142501441233125,0.16178309924165807,-1.1419929888730564
2023-05-31,-0.5807039044797556,,-0.0838495672121717,-0.23066898990028886,0.4917797919934663
2023-06-01,-0.5807039121458725,,-0.04794450733030222,-0.5454455380249075,-0.8449433923518707
2023-06-02,-0.5807039121458725,0.03367662322928809,0.8941834722831958,0.5647399890180231,-1.4390425853942423
2023-06-05,2.2718259676798236,0.7690186886890031,-0.019604353278693133,1.3354256555805697,-1.2905177871336493
2023-06-06,2.265736470526638,1.1636013666920693,0.04176942101956378,1.1432738031442686,-1.2905177871336493
2023-06-07,2.261641743134451,1.1636013666920693,-0.08722053900248089,-0.18347335319338942,-0.5478937958306844
2023-06-08,-0.8863783550084079,0.9995553907657213,-0.08239312943751922,-0.47252628968726745,1.2344037832964312
2023-06-09,-0.8863783495387229,0.8995048369718635,0.08659517620879209,-0.7441799531710601,1.382928581557024
2023-06-12,-0.8863783491287479,0.9610145054404221,-0.006100467660252931,-0.6299776416992852,1.382928581557024
2023-06-13,-2.0182107638689954,0.8952198206798628,0.14895218755078923,0.1294787789806772,1.085878985035838
2023-06-14,-0.3343822383566472,0.8056669964581767,-0.1176955867373053,-0.4433322864924245,0.9373541867752451
2023-06-15,-0.2816411878746032,0.43931784139808505,-0.07006239221320895,-0.6359121450673191,0.7888293885146521
2023-06-16,-0.26358554880368124,-0.16240957700757172,-0.04580581379171728,-0.11316243280615627,0.9373541867752451
2023-06-19,-0.26358554816654245,0.07316406393627221,-0.0723615988696661,0.07778531218045061,1.382928581557024
2023-06-20,-0.263585548338605,-0.01956467479880474,-0.0036808894546479683,-0.1232284956195222,0.19473019547228024
2023-06-21,-0.26358554828089464,-0.7619453377525492,-0.07575945925786794,-0.1514937400107543,0.6403045902540592
2023-06-22,-0.26358554828089464,-0.9234887584889138,-0.06918365225837861,0.2666935991446072,0.19473019547228024
2023-06-23,0.03319270142443928,-1.1823170910699732,-0.08772658305167834,-0.14386103985167564,0.6403045902540592
2023-06-26,-0.1527002132862179,-1.1823170911079357,-0.11515471869501694,0.03943619821623273,-0.5478937958306844
2023-06-27,0.073786131867034,-1.182317091150998,-0.07575945925786794,-0.11316243280615627,-0.3993689975700917
2023-06-28,0.624092664385303,-1.182317091159837,-0.06668864069683343,-0.31141471785792396,-0.5478937958306844
2023-06-29,0.6240926656220257,-0.8953772627458589,-0.15826562577709344,0.3481037280205657,1.382928581557024
2023-06-30,-0.036299581025371654,-0.9439515391754245,-0.08966816180255688,-0.1911809582649261,0.4917797919934663
2023-07-03,0.6701295614887054,-1.0254017073035533,-0.06612693983347806,-0.27629426380389527,0.7888293885146521
2023-07-04,0.22226155247203,-0.9915923843572996,-0.07104761365309283,-0.08265012784031078,-1.1419929888730564
2023-07-05,0.2222615882155256,-0.8836547614062376,-0.1559875785271239,-0.3541162483524343,-0.9934681906124634
2023-07-06,0.22226154991174008,-0.12917578687433226,-0.10524438242236217,-0.7449687576106871,0.9373541867752451
2023-07-07,-2.0426072487326685,0.33301976338107053,-0.035305008801254464,-0.4983410741954689,0.34325499373287316
2023-07-10,0.6716605640183042,1.1636013666920693,-0.11970658835716985,-0.2711775104798487,0.4917797919934663
2023-07-11,0.6716605640183042,0.9940661935875008,-0.05666927748307285,0.29862975551942356,-1.4390425853942423
2023-07-12,0.6716605611745436,0.8371797649928684,-0.10357036443047228,-0.021999344091902247,-1.2905177871336493
2023-07-13,0.6716605642376757,0.5990359260589903,-0.2129100864024327,-0.0840736227264147,-1.4390425853942423
2023-07-14,0.7608399044809702,1.1636013666920693,0.2806366706706648,0.705059543292038,-1.4390425853942423
2023-07-17,0.7608399044809702,1.1636013666920693,-0.10728582014671466,-0.02478395935473923,-1.2905177871336493
2023-07-18,0.7608399044809702,1.1636013666920693,-0.038321556339803414,0.434966606375179,-1.1419929888730564
2023-07-19,2.272952288101786,1.1636013666920693,0.5135665529491822,0.5339542896931797,-1.4390425853942423
2023-07-20,-0.20948391441001482,1.1636013666920693,0.8733765090170109,1.311628885173926,-1.2905177871336493
2023-07-21,-0.242336545476836,1.1636013666920693,-0.1605769421477834,1.9322653465721014,-1.4390425853942423
2023-07-24,-0.2423365533946486,1.1636013666920693,-0.18676653552700453,0.7332479044501001,-0.9934681906124634
2023-07-25,-0.24233654489313736,1.1636013666920693,-0.0344995297188019,0.11496378483682032,-0.3993689975700917
2023-07-26,2.0008624725919892,1.1636013666920693,-0.09923254575821316,-0.11316243280615627,-0.2508441993094986
